Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
Court Systems & Practices,CRIJ,1306,,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,LEC 362,CRIJ 1306,CRIJ 1306,CRJS 2305,CRIJ 1306,,,,,,,,C J 311,,CRIJ 1306,,CRIJ 1306,CRIJ 1306,,CRIJ 1306,,CRIJ 1306,CRIJ 1306,,,CRIJ 1306,CRIJ 1306,CRIJ 1306,,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,,,CRIJ 1306,,,,,,CRIJ 1306,,CRIJ 1306,CRJU 2933,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,,CRIJ 1306,CRIJ 1306,CRIJ 1306,,,CRIJ 1306,CRIJ 1306,,CRIJ 1306,,,CRIJ 1306,CRIJ 1306,,,CRIJ 1306,,,CRIJ 1306,,,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,,,,,,,,CRIJ 1306,,,,,,CJ 2350,,,,CRIJ 1306,CRIJ 1306,,,CJ 2302,,,,,POSC 1999,CRIJ 1306,,,CRIM 2317,CRIJ 1306,CRJ 2813,,,,,,CRIJ 1306,CRIJ 1306,,CRIJ 1306,CRIJ 1306,CRIJ 1306,CRIJ 1306,
Crime in America,CRIJ,1307,,CRIJ 1307,CRIJ 1307,CRIJ 1307,,CRIJ 1307,,CRIJ 1307,CRIJ 1307,CRIJ 1307,CRIJ 1307,CRIJ 1307,LEC 302,CRIJ 1307,CRIJ 1307,CRJS 1301,CRIJ 1307,,,,,,,,C J 309,,CRIJ 1307,,CRIJ 1307,CRIJ 1307,,CRIJ 1307,,CRIJ 1307,CRIJ 1307,CRJ 1320,,,CRIJ 1307,,,CRIJ 1307,,CRIJ 1307,CRIJ 1307,,,CRIJ 1307,,,,,,CRIJ 1307,,CRIJ 1307,,CRIJ 1307,,,CRIJ 1307,,CRIJ 1307,,CRIJ 1307,CRIJ 1307,CRIJ 1307,,,CRIJ 1307,CRIJ 1307,,CRIJ 1307,,,CRIJ 1307,,,,CRIJ 1307,,,,,CJ 1307,,CRIJ 1307,CRIJ 1307,CRIJ 1307,,,,,,,,,CRIJ 1307,,,,,,,,,SOCI 2133,CRIJ 1307,CRIJ 1307,,,,,,,,POSC 1999,CRIJ 1307,,,CRIM 1307,,CRJ 2153,,,,,,CRIJ 1307,CRIJ 1307,,CRIJ 1307,CRIJ 1307,CRIJ 1307,CRIJ 1307,
Fundamentals of Criminal Law,CRIJ,1310,,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,LEC 304,CRIJ 1310,CRIJ 1310,CRJS 2304,CRIJ 1310,,,,,,,,C J 314,CJUS 1310,CRIJ 1310,,CRIJ 1310,CRIJ 1310,,CRIJ 1310,,CRIJ 1310,CRIJ 1310,CRJ 1330,,CRIJ 1310,CRIJ 1310,CRIJ 1310,,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1313,,CRIJ 1310,,,,,,CRIJ 1310,,CRIJ 1310,,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,,CRIJ 1310,CRIJ 1310,CRIJ 1310,,,CRIJ 1310,CRIJ 1310,,CRIJ 1310,,,CRIJ 1310,CRIJ 1310,,,CRIJ 1310,,,CRIJ 1310,,,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 2329,,,,,,,,CRIJ 1310,,,,,,CJ 2360,,,,CRIJ 1310,CRIJ 1310,,,,,,,,POSC 1999,,,,CRIM 2306,CRIJ 1310,,,,,,,CRIJ 1310,CRIJ 1310,,CRIJ 1310,CRIJ 1310,CRIJ 1310,CRIJ 1310,
Juvenile Justice System,CRIJ,1313,,CRIJ 1313,,CRIJ 1313,,CRIJ 1313,,CRIJ 1313,CRIJ 1313,CRIJ 1313,CRIJ 1313,CRIJ 1313,CRIJ 1313,CRIJ 1313,CRIJ 1313,,CRIJ 1313,,,,,,,,CRIJ 1313,CJUS 1313,CRIJ 1313,,,CRIJ 1313,CRIJ 2305,CRIJ 1313,,CRIJ 1313,CRIJ 1313,,,,CRIJ 1313,,,CRIJ 1313,,CRIJ 1313,CRIJ 1313,,,CRIJ 1313,,,,,,CRIJ 1313,,CRIJ 1313,,CRIJ 1313,,CRIJ 1313,CRIJ 1313,,CRIJ 1313,,CRIJ 1313,,CRIJ 1313,,,,CRIJ 1313,,CRIJ 1313,,,CRIJ 1313,CRIJ 1313,,,CRIJ 1313,,,,,CJ 1313,,CRIJ 1313,CRIJ 1313,CRIJ 1313,,,,CRIJ 1313,,,,,CRIJ 1313,,,,,,,,,,CRIJ 1313,CRIJ 1313,,,,,,,,POSC 1999,CRIJ 1313,,,CRIM 2308,,,,,,,,CRIJ 1313,,,CRIJ 1313,,CRIJ 1313,,
Community Resources in Corrections,CRIJ,2301,,CRIJ 2301,CRIJ 2301,CRIJ 2301,,CRIJ 2301,,CRIJ 2301,CRIJ 2301,CRIJ 2301,CRIJ 2301,CRIJ 2301,CRIJ 2301,CRIJ 2301,,,CRIJ 2301,,,,,,,,C J 312,,CRIJ 2301,,CRIJ 2301,CRIJ 2301,,CRIJ 2301,,CRIJ 2301,CRIJ 2301,,,,,,,CRIJ 2301,CRIJ 2301,CRIJ 2301,CRIJ 2301,,,CRIJ 2301,,,,,,CRIJ 2301,,CRIJ 2301,,CRIJ 2301,,,,,CRIJ 2301,,CRIJ 2301,,CRIJ 2301,,,CJ 274,CRIJ 2301,,CRIJ 2301,,,CRIJ 2301,,,,,,,,,,,,CRIJ 2301,,,,,,,,,,CRIJ 2301,,,,,,,,CRJ 2316,,CRIJ 2301,CRIJ 2301,,,,,,,,POSC 1999,,,,,,,,,,,,CRIJ 2301,CRIJ 2301,,CRIJ 2301,,CRIJ 2301,CRIJ 2301,
Correctional Systems & Practices,CRIJ,2313,,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,,CRIJ 2313,,,,,,,,C J 316,CJUS 2313,CRIJ 2313,,CRIJ 2313,CRIJ 2313,CRIJ 1304,CRIJ 2313,,CRIJ 2313,CRIJ 2313,CRJ 2325,,,CRIJ 2313,CRIJ 2313,,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,,,CRIJ 2313,,,,,,CRIJ 2313,,CRIJ 2313,CRJU 2243,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,,CRIJ 2313,CRIJ 2313,CRIJ 2313,,,CRIJ 2313,CRIJ 2313,,CRIJ 2313,,,CRIJ 2313,CRIJ 2313,,,CRIJ 2313,,,CRIJ 2313,CJS 231,CJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,CRIJ 2313,,,,,,,,CRIJ 2313,,,,,,CJ 2355,,,,CRIJ 2313,CRIJ 2313,,,CJ 2303,,,,,POSC 1999,CRIJ 2313,,,CRIM 2316,CRIJ 2313,CRJ 2513,,,,,,CRIJ 2313,CRIJ 2313,JUAD 2303,CRIJ 2313,,CRIJ 2313,CRIJ 2313,
Criminal Investigation,CRIJ,2314,,CRIJ 2314,CRIJ 2314,CRIJ 2314,CRIJ 2314,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRIJ 2314,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRIJ 2314,CRJS 2308,CRIJ 2314,,,,,,,,C J 313,,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRIJ 2301,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRJ 2320,,,CRIJ 2314,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRIJ 2314,CRIJ 2314,,,CRIJ 2314,,,,,,CRIJ 2314,,CRIJ 2314,,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRIJ 2314,CRIJ 2314,,CRIJ 2314,CRIJ 2314,CRIJ 2314,,,CRIJ 2314,CRIJ 2314,,CRIJ 2314,,,CRIJ 2314,CRIJ 2314,,,CRIJ 2314,,,CRIJ 2314,CJS 201,,CRIJ 2335,CRIJ 2314,CRIJ 2314,CRIJ 2314,,,,,,,,,CRIJ 2314,,,,,,,,,GOV 2223,CRIJ 2314,CRIJ 2314,,,,,,,,POSC 1999,,CRCJ 2340,,,,,,,,,,CRIJ 2314,CRIJ 2314,,CRIJ 2314,,CRIJ 2314,CRIJ 2314,
Legal Aspects of Law Enforcement,CRIJ,2323,,CRIJ 2323,CRIJ 2323,CRIJ 2323,CRIJ 2323,CRIJ 2323,,CRIJ 2323,CRIJ 2323,CRIJ 2323,CRIJ 2323,CRIJ 2323,LEC 353,CRIJ 2323,CRIJ 2323,CRJS 1311,CRIJ 2323,,,,,,,,C J 302,,CRIJ 2323,,CRIJ 2323,CRIJ 2323,,CRIJ 2323,,CRIJ 2323,CRIJ 2323,CRJ 2316,,,CRIJ 2323,CRIJ 2323,,CRIJ 2323,,CRIJ 2323,CRIJ 2323,,,CRIJ 2323,,,,,,CRIJ 2323,,CRIJ 2323,CRJU 2213,CRIJ 2323,,CRIJ 2323,CRIJ 2323,,CRIJ 2323,,CRIJ 2323,,CRIJ 2323,,,CJ 273,CRIJ 2323,,CRIJ 2323,,,CRIJ 2323,,,,CRIJ 2323,,,CRIJ 2323,,CJ 2323,,CRIJ 2323,CRIJ 2323,CRIJ 2323,,,,,,,,AJ 250,CRIJ 2323,,,,,,,,,,CRIJ 2323,CRIJ 2323,,,,,,,,POSC 1999,,,,,,,,,,,,CRIJ 2323,CRIJ 2323,,CRIJ 2323,,CRIJ 2323,CRIJ 2323,
Police Systems & Practices,CRIJ,2328,,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,LEC 303,CRIJ 2328,CRIJ 2328,CRJS 1310,CRIJ 2328,,,,,,,,C J 305,CJUS 2328,CRIJ 2328,,CRIJ 2328,CRIJ 2328,CRIJ 1302,CRIJ 2328,,CRIJ 2328,CRIJ 2328,,,CRIJ 2328,CRIJ 2328,CRIJ 2328,,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,,,CRIJ 2328,,,,,,CRIJ 2328,,CRIJ 2328,CRJU 2233,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,,CRIJ 2328,CRIJ 2328,CRIJ 2328,,,CRIJ 2328,CRIJ 2328,,CRIJ 2328,,,CRIJ 2328,CRIJ 2328,,,CRIJ 2328,,,CRIJ 2328,,CJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,,CJ 201,CRIJ 2328,,,,,CRIJ 2328,,,,,,CJ 2310,,,,CRIJ 2328,CRIJ 2328,,,CJ 2301,,,,,POSC 1999,CRIJ 2328,,,CRIM 2313,CRIJ 2328,CRJ 2213,,,,,,CRIJ 2328,CRIJ 2328,,CRIJ 2328,CRIJ 2328,CRIJ 2328,CRIJ 2328,
Dance Composition II,DANC,1102,,,,,,,,,,,,,,DANC 1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Dance Composition III,DANC,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Tap Dance,DANC,1110,,,,,,,,,,,,,,,DANC 1110,,DANC 1110,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1110,,,,,,,,,,,THRE 1150,,,,,,,DANC 1110,,,DANC 1110,,,,,,DANC 1110,,,,,,,,,,,,,,,,DANC 1110,,,,KINE 199,,,KINE 199,,,,,,,,,,,DAN 1101,,DNCE 1071,,DANC 1110,,,,,,,,GENE 1000,,DNCA 134,,,,,,,,,,,,,,,,,
Dance Practicum,DANC,1112,,,,,,,,,,,,,,,DANC 1112,,DANC 1112,,,,,,,,,,,,,,,,,DANC 1112,DANC 1112,,,,DANC 1112,,,,,DANC 1112,,,,,,,,,,,,,,,,,,DANC 1112,,,DANC 1112,,,,,,DANC 1112,,DANC 1112,,,,,,,,,,DANC 1112,,,,DANC 1112,,,,KINE 199,,,KINE 199,,,,,,,,,,DAN 1170,,,,DANC 1112,DANC 1112,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,DANC 1112,,,
Folk I,DANC,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSSC 2106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Folk II,DANC,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSSC 2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Ballroom and Social Dance,DANC,1128,,,,,,,,,,,,,,,DANC 1128,,DANC 1128,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1128,,,,,,,,,,,,,,,,DANC 1128,,DANC 1128,,,DANC 1128,,,,,,DANC 1128,,,,,,,,,,,,DANC 1128,,,,DANC 1128,,,,KINE 199,,,KINE 199,,,,,,,,,,DAN 1170,,,DNCE 1021,,,,,,,,,,GENE 1000,,DNCA 131,,,,,,,,,,,,,,,,,
Country and Western II,DANC,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Ballet I,DANC,1141,,,,,,DANC 1141,,,,,,,,,DANC 1141,,DANC 1141,,,,,,,,DANC 1141,,DANC 1141,,,,,,,,,,,,DANC 1141,,,,,,,,,DANC 1141,,,,,,DANC 1141,,,,,DANC 1141,DANC 1141,,DANC 1141,,,DANC 1141,,,,,,DANC 1141,,,,,,,,,,,,DANC 1141,,,,,,,,KINE 199,,DANC 1141,KINE 199,EDKN 1141,,,,,,,,,DAN 1180,DAN 1105,,DNCE 1011,DANC 1141,DANC 1141,,,,,,,,GENE 1000,,DNCE 1135,T D 112F,,,,,,,,DANC 1101,,,,,,,,
Ballet II,DANC,1142,,,,,,DANC 1142,,,,,,,,,DANC 1142,,DANC 1142,,,,,,,,DANC 1142,,,,,,,,,,,,,,DANC 1142,,,,,,,,,DANC 1142,,,,,,DANC 1151,,,,,DANC 1142,DANC 1142,,DANC 1142,,,DANC 1142,,,,,,DANC 1142,,,,,,,,,,,,DANC 1142,,,,,,,DANC 2241,KINE 199,,,KINE 199,,,,,,,,,,,,,DNCE 1011,,DANC 1142,,,,,,,,GENE 1000,,,T D 112F,,,,,,,,DANC 1102,,,,,,,,
Modern Dance I,DANC,1145,,,,,,,,,,,,,,,DANC 1145,,DANC 1145,,,,,,,,DANC 1145,,DANC 1145,,,,,,,,DANC 1145,,,,DANC 1145,,,,,,,,,DANC 1145,,,,,,,,,,,DANC 1145,DANC 1145,,DANC 1145,,,DANC 1145,,,,,,DANC 1145,,,,,,,,,,FRA47 001,,DANC 1145,,,,,,,DANC 1245,KINE 199,,DANC 1148,KINE 199,,,PE 108,,,,,,,DAN 1190,DAN 1109,,DNCE 1051,,DANC 1145,,,,,,,,GENE 1000,,DNCE 1132,T D 112C,,,,,,,,,,,,,,,,
Modern Dance II,DANC,1146,,,,,,,,,,,,,,,DANC 1146,,DANC 1146,,,,,,,,DANC 1146,,DANC 1146,,,,,,,,DANC 1146,,,,,,,,,,,,,DANC 1146,,,,,,,,,,,DANC 1146,DANC 1146,,DANC 1146,,,DANC 1146,,,,,,DANC 1146,,,,,,,,,,,,DANC 1146,,,,,,,DANC 2245,KINE 199,,,KINE 199,EDKN 1146,,PE 109,,,,,,,PFW 1180H,,,DNCE 1051,,DANC 1146,,,,,,,,GENE 1000,,,T D 112C,,,,,,,,,,,,,,,,
Jazz Dance I,DANC,1147,,,,,,DANC 1147,,,,,,,,,,,DANC 1147,,,,,,,,DANC 1147,,DANC 1147,,,,,,,,DANC 1147,,,,,,,,,DANC 1147,,,,DANC 1147,,,,,,,THRE 1150,,,,DANC 1147,,,DANC 1147,,,DANC 1147,,,,,,DANC 1147,,,,,,,,,,,,DANC 1147,,,,,,,,KINE 199,,DANC 1147,KINE 199,EDKN 1147,,,,,,,,,DAN 1160,DAN 1103,,DNCE 1061,DANC 1147,DANC 1147,,,,,,,,GENE 1000,,DNCE 1136,,,,,,,,,,,,,,,,,
Jazz Dance II,DANC,1148,,,,,,DANC 1148,,,,,,,,,DANC 1148,,DANC 1148,,,,,,,,DANC 1148,,,,,,,,,,DANC 1148,,,,,,,,,DANC 1148,,,,DANC 1148,,,,,,,,,,,,DANC 1148,,DANC 1148,,,DANC 1148,,,,,,,,,,,,,,,,,,DANC 1148,,,,,DANC 1248,,DANC 2247,KINE 167,,,KINE 167,,,,,,,,,,,,,DNCE 1061,DANC 1148,DANC 1148,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Ballet Folklorico I,DANC,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet Folklorico II,DANC,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshman Dance Performance,DANC,1151,,,,,,,,,,,,,,,DANC 1151,,DANC 1151,,,,,,,,DANC 1151,,,,,,,,,,DANC 1151,,,,,,,,,,,,,,,,,,,DANC 1151,,,,,DANC 1151,,,DANC 1151,,,DANC 1151,,,,,,DANC 1151,,DANC 1151,,,,,,,,,,,,,,DANC 1151,,,,KINE 199,,,KINE 199,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,DNCA 139,T D 112P,,DANC 1151,,,,,,,,,,,,,,
Spanish Ballet I,DANC,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Ballet II,DANC,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance Composition-Improvisation,DANC,1201,,,,,,DANC 1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1201,,,,,,,,,DANC 1201,,DANC 1201,,,,,,,,,,,,,,,,,,KINE 199,,,KINE 199,,,,,,,,,,DAN 2208,,,,,,,,,,,,,GENE 1000,,,T D 212M,,,,,,,,,,,,,,,,
Tap II,DANC,1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance Practicum I,DANC,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Dance Practicum II,DANC,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Ballroom I,DANC,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Country and Western I,DANC,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Country and Western II,DANC,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Beginning Ballet,DANC,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1241,,,,DANC 1241,,,,,,DANC 1241,DAN 102L,,,,DANC 1241,,DANC 1241,DCED 160,,,DCED 160,,,,DANC 1241,,,,,,,DAN 1105,,,,,,,,,,,,GENE 1000,DANC 1241,,T D 212F,,,,,,,,,,,,,DANC 1241,,,
Beginning Modern Dance,DANC,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T D 212C,,,,,,,,,,,,,,,,
Modern Dance II,DANC,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,T D 212C,,,,,,,,,,,,,,,,
Beginning Jazz Dance,DANC,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1247,,,,,,,,,,,DAN 103L,,,,DANC 1247,,DANC 1247,KINE 199,,,KINE 199,,,,,,,,,,,DAN 1103,,DNCE 1061,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Ballet Folklorico I,DANC,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballet Folklorico II,DANC,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance Performance I,DANC,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1251,,,,,,,,,,,,,,,,,,,GENE 1000,,,T D 212P,,,,,,,,,,,,,,,,
Dance Performance II,DANC,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANC 1252,,,,,,,,,,,,,,,,,,,GENE 1000,,,T D 212P,,,,,,,,,,,,,,,,
Spanish Ballet I,DANC,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
